,code,state,ca_monthly,poverty_rate
363,LA,Louisiana,150,12.8
364,LA,Louisiana,175,11.8
365,LA,Louisiana,200,11.0
366,LA,Louisiana,225,10.4
367,LA,Louisiana,250,9.9
368,LA,Louisiana,275,9.3
369,LA,Louisiana,300,8.6
370,LA,Louisiana,325,8.2
371,LA,Louisiana,350,7.8
372,LA,Louisiana,375,7.0
373,LA,Louisiana,400,6.6
374,LA,Louisiana,425,6.0
375,LA,Louisiana,450,5.5
376,LA,Louisiana,475,5.2
377,LA,Louisiana,500,4.9
378,ME,Maine,0,11.0
379,ME,Maine,25,9.4
380,ME,Maine,50,8.7
381,ME,Maine,75,8.3
382,ME,Maine,100,7.2
383,ME,Maine,125,6.5
384,ME,Maine,150,6.4
385,ME,Maine,175,6.4
386,ME,Maine,200,6.2
387,ME,Maine,225,6.0
388,ME,Maine,250,5.8
389,ME,Maine,275,5.7
390,ME,Maine,300,5.5
391,ME,Maine,325,5.4
392,ME,Maine,350,5.2
393,ME,Maine,375,4.7
394,ME,Maine,400,4.3
395,ME,Maine,425,4.0
396,ME,Maine,450,3.9
397,ME,Maine,475,3.8
398,ME,Maine,500,3.5
399,MD,Maryland,0,12.4
400,MD,Maryland,25,11.7
401,MD,Maryland,50,10.9
402,MD,Maryland,75,10.2
403,MD,Maryland,100,9.4
404,MD,Maryland,125,8.6
405,MD,Maryland,150,8.2
406,MD,Maryland,175,8.1
407,MD,Maryland,200,7.7
408,MD,Maryland,225,7.5
409,MD,Maryland,250,7.4
410,MD,Maryland,275,6.7
411,MD,Maryland,300,6.2
412,MD,Maryland,325,5.7
413,MD,Maryland,350,5.1
414,MD,Maryland,375,4.5
415,MD,Maryland,400,4.4
416,MD,Maryland,425,3.6
417,MD,Maryland,450,3.5
418,MD,Maryland,475,3.2
419,MD,Maryland,500,3.1
420,MA,Massachusetts,0,11.7
421,MA,Massachusetts,25,10.2
422,MA,Massachusetts,50,9.9
423,MA,Massachusetts,75,9.5
424,MA,Massachusetts,100,9.0
425,MA,Massachusetts,125,8.2
426,MA,Massachusetts,150,7.9
427,MA,Massachusetts,175,7.0
428,MA,Massachusetts,200,6.6
429,MA,Massachusetts,225,6.4
430,MA,Massachusetts,250,5.9
431,MA,Massachusetts,275,5.5
432,MA,Massachusetts,300,5.4
433,MA,Massachusetts,325,5.1
434,MA,Massachusetts,350,4.9
435,MA,Massachusetts,375,4.5
436,MA,Massachusetts,400,4.4
437,MA,Massachusetts,425,4.0
438,MA,Massachusetts,450,3.8
439,MA,Massachusetts,475,3.6
440,MA,Massachusetts,500,3.4
441,MI,Michigan,0,10.9
442,MI,Michigan,25,10.8
443,MI,Michigan,50,10.1
444,MI,Michigan,75,9.5
445,MI,Michigan,100,8.8
446,MI,Michigan,125,8.0
447,MI,Michigan,150,7.3
448,MI,Michigan,175,6.8
449,MI,Michigan,200,6.5
450,MI,Michigan,225,6.3
451,MI,Michigan,250,6.1
452,MI,Michigan,275,5.5
453,MI,Michigan,300,5.2
454,MI,Michigan,325,5.0
455,MI,Michigan,350,4.8
456,MI,Michigan,375,4.5
457,MI,Michigan,400,4.5
458,MI,Michigan,425,4.2
459,MI,Michigan,450,4.0
460,MI,Michigan,475,3.8
461,MI,Michigan,500,3.7
462,MN,Minnesota,0,6.3
463,MN,Minnesota,25,6.0
464,MN,Minnesota,50,5.5
465,MN,Minnesota,75,4.6
466,MN,Minnesota,100,4.3
467,MN,Minnesota,125,4.1
468,MN,Minnesota,150,3.8
469,MN,Minnesota,175,3.5
470,MN,Minnesota,200,3.1
471,MN,Minnesota,225,3.1
472,MN,Minnesota,250,2.7
473,MN,Minnesota,275,1.7
474,MN,Minnesota,300,1.6
475,MN,Minnesota,325,1.5
476,MN,Minnesota,350,1.4
477,MN,Minnesota,375,1.3
478,MN,Minnesota,400,1.3
479,MN,Minnesota,425,1.3
480,MN,Minnesota,450,1.2
481,MN,Minnesota,475,1.2
482,MN,Minnesota,500,0.9
483,MS,Mississippi,0,16.8
484,MS,Mississippi,25,15.7
485,MS,Mississippi,50,14.4
486,MS,Mississippi,75,13.0
487,MS,Mississippi,100,12.6
488,MS,Mississippi,125,11.3
489,MS,Mississippi,150,10.6
490,MS,Mississippi,175,9.6
491,MS,Mississippi,200,8.9
492,MS,Mississippi,225,8.2
493,MS,Mississippi,250,7.7
494,MS,Mississippi,275,7.3
495,MS,Mississippi,300,7.3
496,MS,Mississippi,325,6.5
497,MS,Mississippi,350,5.6
498,MS,Mississippi,375,5.6
499,MS,Mississippi,400,5.3
500,MS,Mississippi,425,5.1
501,MS,Mississippi,450,4.7
502,MS,Mississippi,475,4.3
503,MS,Mississippi,500,3.9
504,MO,Missouri,0,11.3
505,MO,Missouri,25,11.1
506,MO,Missouri,50,10.2
507,MO,Missouri,75,10.0
508,MO,Missouri,100,9.1
509,MO,Missouri,125,8.6
510,MO,Missouri,150,8.0
511,MO,Missouri,175,7.7
512,MO,Missouri,200,7.1
513,MO,Missouri,225,6.5
514,MO,Missouri,250,6.1
515,MO,Missouri,275,5.4
516,MO,Missouri,300,4.8
517,MO,Missouri,325,4.5
518,MO,Missouri,350,4.4
519,MO,Missouri,375,4.4
520,MO,Missouri,400,4.4
521,MO,Missouri,425,4.1
522,MO,Missouri,450,4.0
523,MO,Missouri,475,3.6
524,MO,Missouri,500,3.6
525,MT,Montana,0,9.6
526,MT,Montana,25,9.2
527,MT,Montana,50,8.6
528,MT,Montana,75,8.1
529,MT,Montana,100,7.9
530,MT,Montana,125,7.2
531,MT,Montana,150,6.9
532,MT,Montana,175,6.8
533,MT,Montana,200,6.2
534,MT,Montana,225,5.5
535,MT,Montana,250,5.2
536,MT,Montana,275,5.0
537,MT,Montana,300,4.7
538,MT,Montana,325,4.7
539,MT,Montana,350,4.6
540,MT,Montana,375,4.4
541,MT,Montana,400,3.9
542,MT,Montana,425,3.8
543,MT,Montana,450,3.8
544,MT,Montana,475,3.5
545,MT,Montana,500,3.1
546,NE,Nebraska,0,10.1
547,NE,Nebraska,25,9.4
548,NE,Nebraska,50,8.7
549,NE,Nebraska,75,8.0
550,NE,Nebraska,100,7.3
551,NE,Nebraska,125,6.5
552,NE,Nebraska,150,5.8
553,NE,Nebraska,175,5.5
554,NE,Nebraska,200,5.0
555,NE,Nebraska,225,4.4
556,NE,Nebraska,250,4.2
557,NE,Nebraska,275,4.1
558,NE,Nebraska,300,3.8
559,NE,Nebraska,325,3.8
560,NE,Nebraska,350,3.3
561,NE,Nebraska,375,3.3
562,NE,Nebraska,400,3.0
563,NE,Nebraska,425,2.9
564,NE,Nebraska,450,2.8
565,NE,Nebraska,475,2.4
566,NE,Nebraska,500,2.3
567,NV,Nevada,0,13.4
568,NV,Nevada,25,12.3
569,NV,Nevada,50,10.7
570,NV,Nevada,75,10.4
571,NV,Nevada,100,10.1
572,NV,Nevada,125,9.6
573,NV,Nevada,150,9.3
574,NV,Nevada,175,8.8
575,NV,Nevada,200,8.1
576,NV,Nevada,225,7.8
577,NV,Nevada,250,7.4
578,NV,Nevada,275,7.1
579,NV,Nevada,300,6.4
580,NV,Nevada,325,6.3
581,NV,Nevada,350,5.8
582,NV,Nevada,375,5.6
583,NV,Nevada,400,5.1
584,NV,Nevada,425,4.3
585,NV,Nevada,450,4.0
586,NV,Nevada,475,3.8
587,NV,Nevada,500,3.8
588,NH,New Hampshire,0,8.7
589,NH,New Hampshire,25,8.0
590,NH,New Hampshire,50,7.6
591,NH,New Hampshire,75,6.9
592,NH,New Hampshire,100,6.7
593,NH,New Hampshire,125,6.4
594,NH,New Hampshire,150,5.8
595,NH,New Hampshire,175,5.7
596,NH,New Hampshire,200,5.3
597,NH,New Hampshire,225,4.8
598,NH,New Hampshire,250,4.6
599,NH,New Hampshire,275,4.5
600,NH,New Hampshire,300,4.2
601,NH,New Hampshire,325,4.2
602,NH,New Hampshire,350,4.1
603,NH,New Hampshire,375,4.1
604,NH,New Hampshire,400,4.1
605,NH,New Hampshire,425,3.9
